#{"t_start": 1766599316.844136, "env_id": "BipedalWalker-v3"}
r,l,t
276.494809,1064,3613.663202
275.441047,1057,3614.414323
-15.938385,456,3614.740558
274.165954,1107,3616.491296
85.024166,822,3617.058289
268.171499,1169,3618.864221
273.106515,1116,3619.617318
275.388861,1059,3621.326276
273.40376,1102,3623.076208
-52.422484,350,3623.301706
273.200357,1081,3624.089345
274.645087,1093,3625.861544
275.45123,1070,3626.590516
